index.int32(),STATION.string(),NAME.string(),_id.date_ms(yyyy-MM-dd),AWND.double(),PGTM.double(),PRCP.double(),SNOW.double(),SNWD.double(),TAVG.double(),TMAX.double(),TMIN.double()
4945,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-10,5.4,0.0,0.0,0.0,0.0,24.9,28.3,21.1
4946,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-11,3.1,0.0,0.0,0.0,0.0,23.9,28.3,20.0
4947,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-12,3.7,0.0,0.0,0.0,0.0,26.5,31.7,22.2
4948,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-13,3.2,0.0,0.5,0.0,0.0,25.8,26.7,23.9
4949,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-14,3.7,0.0,0.0,0.0,0.0,24.7,28.3,22.2
4950,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-15,3.8,0.0,0.0,0.0,0.0,24.7,29.4,22.2
4951,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-16,3.6,0.0,0.0,0.0,0.0,23.6,28.3,21.1
4952,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-17,3.8,0.0,0.0,0.0,0.0,25.3,30.0,22.8
4953,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-18,3.2,0.0,15.0,0.0,0.0,26.7,32.8,23.3
4954,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-19,3.2,0.0,0.0,0.0,0.0,27.4,33.9,23.9
4955,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-20,3.6,0.0,0.0,0.0,0.0,27.7,31.7,24.4
4956,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-21,3.7,0.0,8.9,0.0,0.0,27.8,32.8,25.6
4957,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-22,3.4,0.0,30.0,0.0,0.0,28.3,33.9,21.7
4958,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-23,3.5,0.0,1.5,0.0,0.0,22.9,24.4,18.9
4959,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-24,3.9,0.0,0.0,0.0,0.0,21.6,25.0,17.8
4960,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-25,7.2,0.0,0.0,0.0,0.0,21.6,25.0,18.9
4961,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-26,4.9,0.0,0.0,0.0,0.0,19.6,23.3,16.1
4962,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-27,3.2,0.0,0.0,0.0,0.0,20.9,24.4,18.3
4963,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-28,3.3,0.0,2.5,0.0,0.0,21.3,24.4,20.6
4964,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-29,5.1,0.0,0.0,0.0,0.0,24.0,28.9,20.6
4965,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-30,4.2,0.0,0.0,0.0,0.0,25.7,31.7,21.1
4966,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-08-31,3.8,0.0,0.0,0.0,0.0,25.4,27.8,21.7
4967,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-01,4.3,0.0,0.0,0.0,0.0,22.3,25.6,18.3
4968,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-02,3.8,0.0,13.0,0.0,0.0,22.8,26.1,21.1
4969,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-03,3.8,0.0,0.0,0.0,0.0,23.9,27.8,20.6
4970,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-04,4.4,0.0,0.0,0.0,0.0,24.9,31.7,21.1
4971,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-05,3.9,0.0,0.0,0.0,0.0,22.3,23.3,18.3
4972,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-06,7.3,0.0,0.8,0.0,0.0,19.3,20.6,15.6
4973,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-07,5.4,0.0,0.0,0.0,0.0,18.8,25.0,14.4
4974,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-08,3.4,0.0,0.0,0.0,0.0,22.2,26.1,19.4
4975,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-09,4.6,0.0,0.0,0.0,0.0,21.7,25.0,18.9
4976,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-10,4.1,0.0,0.0,0.0,0.0,22.2,25.6,20.0
4977,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-11,4.3,0.0,0.0,0.0,0.0,25.3,32.8,21.1
4978,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-12,5.2,0.0,1.8,0.0,0.0,26.1,28.3,17.8
4979,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-13,4.8,0.0,0.0,0.0,0.0,18.6,22.8,15.6
4980,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-14,4.3,0.0,0.0,0.0,0.0,20.5,25.6,17.2
4981,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-15,2.5,0.0,0.0,0.0,0.0,24.4,29.4,21.7
4982,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-16,2.9,0.0,0.0,0.0,0.0,23.6,25.0,21.1
4983,USW00014732,"LAGUARDIA AIRPORT, NY US",2019-09-17,4.0,0.0,0.0,0.0,0.0,21.5,26.1,17.2
